subject,body,label
"Exclusive Deal: 90% Off Today Only","Don't miss this amazing opportunity! Get premium software for 90% off. Limited time offer. Click now to claim your discount. Special promotion ending soon!",Spam / Advertisements
"Congratulations! You've Won $1,000,000","You've been selected as the winner of our international lottery! Claim your prize now by clicking the link below. No purchase necessary. Limited time offer!",Spam / Advertisements
"Make Money Fast - Guaranteed Results","Start earning $10,000 per week from home! Our proven system guarantees results. No experience needed. Click here to learn more about this amazing opportunity!",Spam / Advertisements
"Free iPhone 15 Pro - Claim Now","You've been randomly selected to receive a free iPhone 15 Pro! Just complete our quick survey and pay shipping. Limited time offer. Click here to claim your prize!",Spam / Advertisements
"Account Security Alert","Your account has been compromised! Immediate action required. Click here to secure your account and prevent unauthorized access. Limited time offer!",Spam / Advertisements
"Exclusive VIP Access","You've been chosen for exclusive VIP access to premium content. Click here to claim your special membership. Limited time offer!",Spam / Advertisements
"Urgent: Package Delivery Issue","Your package delivery has been delayed. Click here to update your shipping information. Limited time offer!",Spam / Advertisements
"Special Discount: 75% Off","Don't miss this exclusive offer! Get 75% off on all products. Limited time only. Click here to shop now!",Spam / Advertisements
"Account Verification Required","Your account needs immediate verification. Click here to update your information. Limited time offer!",Spam / Advertisements
"System Update Required","Your system needs an immediate update. Click here to download the latest version. Limited time offer!",Spam / Advertisements
"Special Promotion: Free Trial","Start your free trial today! No credit card required. Limited time offer. Click here to begin!",Spam / Advertisements
"Account Security Check","Your account security needs verification. Click here to complete the security check. Limited time offer!",Spam / Advertisements
"Exclusive Member Benefits","You've been selected for exclusive member benefits. Click here to claim your rewards. Limited time offer!",Spam / Advertisements
"Urgent: Action Required","Your account needs immediate attention. Click here to resolve the issue. Limited time offer!",Spam / Advertisements
"Special Offer: 50% Off","Don't miss this special offer! Get 50% off on all products. Limited time only. Click here to shop now!",Spam / Advertisements
"Account Update Required","Your account information needs updating. Click here to complete the update. Limited time offer!",Spam / Advertisements
"System Maintenance Alert","Your system needs maintenance. Click here to run the maintenance tool. Limited time offer!",Spam / Advertisements
"Special Discount: 60% Off","Exclusive offer! Get 60% off on all products. Limited time only. Click here to shop now!",Spam / Advertisements
"Account Verification Needed","Your account verification is pending. Click here to complete the verification. Limited time offer!",Spam / Advertisements 
